0,0,0
0.101010101,0,5
0.202020202,0,10
0.303030303,0,15
0.404040404,0,20
0.505050505,0,25
0.606060606,0,30
0.707070707,0,35
0.808080808,0,40
0.909090909,0,45
1.01010101,1,50
1.111111111,2,55
1.212121212,3,60
1.313131313,4,65
1.414141414,5,70
1.515151515,6,75
1.616161616,6,80
1.717171717,6,85
1.818181818,7,90
1.919191919,8,95
2.02020202,8,100
2.121212121,9,105
2.222222222,10,110
2.323232323,11,115
2.424242424,12,120
2.525252525,13,125
2.626262626,14,130
2.727272727,15,135
2.828282828,16,140
2.929292929,16,145
3.03030303,17,150
3.131313131,18,155
3.232323232,19,160
3.333333333,20,165
3.434343434,20,170
3.535353535,21,175
3.636363636,22,180
3.737373737,23,185
3.838383838,24,190
3.939393939,25,195
4.04040404,26,200
4.141414141,27,205
4.242424242,28,210
4.343434343,29,215
4.444444444,30,220
4.545454545,31,225
4.646464646,32,230
4.747474747,33,235
4.848484848,33,240
4.949494949,34,245
5.050505051,35,250
5.151515152,35,255
5.252525253,36,260
5.353535354,36,265
5.454545455,37,270
5.555555556,38,275
5.656565657,39,280
5.757575758,40,285
5.858585859,41,290
5.95959596,42,295
6.060606061,43,300
6.161616162,44,305
6.262626263,45,310
6.363636364,45,315
6.464646465,46,320
6.565656566,47,325
6.666666667,48,330
6.767676768,49,335
6.868686869,50,340
6.96969697,50,345
7.070707071,51,350
7.171717172,52,355
7.272727273,52,360
7.373737374,53,365
7.474747475,54,370
7.575757576,55,375
7.676767677,56,380
7.777777778,57,385
7.878787879,58,390
7.97979798,58,395
8.080808081,59,400
8.181818182,60,405
8.282828283,61,410
8.383838384,62,415
8.484848485,62,420
8.585858586,62,425
8.686868687,63,430
8.787878788,64,435
8.888888889,64,440
8.98989899,65,445
9.090909091,65,450
9.191919192,66,455
9.292929293,67,460
9.393939394,68,465
9.494949495,69,470
9.595959596,69,475
9.696969697,70,480
9.797979798,71,485
9.898989899,71,490
10,72,495
